Nro Ordenanza;Año;Fecha;Gestión;Paginas;Descripción;Archivo
650;2016;08/08/2016;47;2;"DESIGNAR como integrantes de la Comisión de Consulta del Plan de Estudios de las carreras ""Licenciatura en Ciencias de la Computación"" (Ord. N° 1112/13) y ""Licenciatura en Sistemas de Información"" (Ord. N° 1420/13), de la Facultad de Informática, a";ord_0650_2016
675;2016;22/09/2016;47;4;"MODIFICAR el Plan de Estudios de la carrera ""Licenciatura en Ciencias de la Computación"", Ordenanza N° 1112/13, perteneciente a la Facultad de Informática, de acuerdo al Anexo Único adjunto a la presente.";ord_0675_2016
700;2016;02/11/2016;47;3;"MODIFICAR el Plan de Estudios de la carrera ""Licenciatura en Sistemas de Información"",Ordenanza N°1420/13, perteneciente a la Facultad de Informática, de acuerdo al Anexo Único adjunto a la presente.";ord_0700_2016
1112;2013;07/05/2013;23;39;"APROBAR, a partir del periodo lectivo 2013, el nuevo Plan de Estudios de la carrera ""Licenciatura en Ciencias de la Computación"" (Ordenanza N° 1004/98 y modificatorias Ordenanzas N° 1016/05,0647/10,0075/10 y 0235/11) perteneciente a la Facultad de Informática, de acuerdo al Anexo Único adjunto a la presente";ord_1112_2013
1217;2013;03/07/2013;23;1;"APROBAR la modificación del Plan de Estudios de la carrera ""Tecnicatura Superior en Base de Datos"" perteneciente a la Facultad de Informática, aprobada por Ordenanza N° 0313/09, de acuerdo al Anexo Único adjunto a la presente.";ord_1217_2013
1218;2013;03/07/2013;23;2;"APROBAR la modificación del Plan de Estudios de la carrera ""Tecnicatura Superior en Programación y Bases de Datos"" perteneciente a la Facultad de Informática, aprobada por Ordenanza N° 0086/10 y modificatoria Ordenanza N° 0372/110, de acuerdo al Anexo Único adjunto a la presente.";ord_1218_2013
1216;2013;03/07/2013;23;2;"APROBAR la modificación del Plan de Estudios de la carrera ""Tecnicatura Universitaria en Administración de Sistemas y Software Libre"" perteneciente a la Facultad de Informática, aprobada por Ordenanza N° 0895/12, de acuerdo al Anexo Único adjunto a la presente.";ord_1216_2013
1074;2013;22/03/2013;23;12;"APROBAR la modificación del Plan de Estudios de la carrera ""Tecnicatura Universitaria en Desarrollo Web"" perteneciente a la Facultad de Informática";ord_1074_2013
1185;2013;25/06/2013;23;26;"DEROGAR la Ordenanza N°1111/13 del Consejo Superior mediante la cual se modifica, a partir del período lectivo 2013, APROBAR, a partir del período lectivo 2013,el nuevo Plan de Estudios de la carrera ""Profesorado en Informática"" perteneciente a la Facultad de Informática,de acuerdo al Anexo Único adjunto a la presente.";ord_1185_2013
1111;2013;07/05/2013;23;26;"MODIFICAR, a partir del período lectivo 2013, el Plan de Estudios de la carrera ""Profesorado en Informática""(Ordenanza N° 0660/96 y modificatorias Ordenanzas N° 0893/05, 1089/06 Y 0525/09) perteneciente a la Facultad de Informática, de acuerdo al Anexo Único adjunto a la presente.";ord_1111_2013
379;2011;01/08/2011;23;3;"MODIFICAR la Ordenanza N° 0085/10 del Consejo Superior correspondiente al Plan de Estudios de la carrera Tecnicatura Superior en Desarrollo de Aplicaciones Web perteneciente a la Facultad de Informática, incorporando el plan de enlace entre el plan de estudios de la carrera Tecnicatura Superior en Desarrollo de Aplicaciones Web (Ord. N° 0312/09) Ysu modificatoria (Ord. N° 0085/1O), adjuntos a la presente como Anexo I.";ord_0379_2011
372;2011;28/07/2011;23;3;"MODIFICAR la Ordenanza N° 0086/1 O correspondiente al Plan de Estudios de la carrera Tecnicatura Superior en Programación y Bases de Datos perteneciente a la Facultad de Informática";ord_0372_2011
75;2010;09/09/2010;23;29;"APROBAR la modificación del Plan de Estudios de la Carrera ""Licenciatura en Ciencias de la Computación"", correspondiente a la Facultad de Informática, de acuerdo al ANEXO ÚNICO que se adjunta a la presente.";ord_0075_2010
85;2010;10/09/2010;23;9;"MODIFICAR, el plan de estudios de la carrera ""Tecnicatura Superior en Desarrollo de Aplicaciones Web"", perteneciente a la Facultad de Informática de acuerdo al Anexo Único que se adjunta.";ord_0085_2010
